email,action,dt
mail.ru,CREATE,2024-09-26 10:43:33
gmail.com,READ,2024-09-26 14:36:03
gmail.com,READ,2024-09-26 13:49:05
ya.ru,DELETE,2024-09-26 12:26:00
gmail.com,READ,2024-09-26 01:44:38
ya.ru,UPDATE,2024-09-26 18:27:50
gmail.com,UPDATE,2024-09-26 16:38:40
mail.ru,READ,2024-09-26 05:54:54
ya.ru,DELETE,2024-09-26 15:21:21
mail.ru,CREATE,2024-09-26 14:14:06
gmail.com,DELETE,2024-09-26 11:20:28
ya.ru,CREATE,2024-09-26 13:20:28
ya.ru,DELETE,2024-09-26 20:33:29
gmail.com,DELETE,2024-09-26 15:40:39
mail.ru,UPDATE,2024-09-26 14:52:27
gmail.com,UPDATE,2024-09-26 04:58:18
mail.ru,CREATE,2024-09-26 10:21:43
ya.ru,READ,2024-09-26 22:41:07
ya.ru,READ,2024-09-26 06:56:52
mail.ru,UPDATE,2024-09-26 12:14:01
gmail.com,CREATE,2024-09-26 19:35:16
ya.ru,UPDATE,2024-09-26 09:26:04
gmail.com,UPDATE,2024-09-26 16:09:49
ya.ru,READ,2024-09-26 00:05:25
gmail.com,DELETE,2024-09-26 07:28:37
gmail.com,READ,2024-09-26 16:17:06
mail.ru,CREATE,2024-09-26 14:00:51
mail.ru,READ,2024-09-26 23:37:12
mail.ru,READ,2024-09-26 08:52:18
gmail.com,READ,2024-09-26 11:16:59
gmail.com,READ,2024-09-26 02:14:21
gmail.com,DELETE,2024-09-26 02:21:03
ya.ru,READ,2024-09-26 09:23:15
ya.ru,UPDATE,2024-09-26 22:07:38
ya.ru,DELETE,2024-09-26 23:32:14
mail.ru,CREATE,2024-09-26 22:36:33
ya.ru,CREATE,2024-09-26 23:03:52
gmail.com,READ,2024-09-26 08:36:45
ya.ru,READ,2024-09-26 23:00:15
mail.ru,READ,2024-09-26 12:28:56
ya.ru,READ,2024-09-26 21:35:00
mail.ru,CREATE,2024-09-26 00:38:00
ya.ru,DELETE,2024-09-26 14:07:11
mail.ru,DELETE,2024-09-26 17:47:21
gmail.com,CREATE,2024-09-26 09:21:58
mail.ru,UPDATE,2024-09-26 11:15:20
ya.ru,UPDATE,2024-09-26 16:10:27
gmail.com,UPDATE,2024-09-26 06:26:24
mail.ru,CREATE,2024-09-26 07:41:01
gmail.com,DELETE,2024-09-26 14:13:51
ya.ru,DELETE,2024-09-26 07:49:32
gmail.com,DELETE,2024-09-26 23:06:03
gmail.com,DELETE,2024-09-26 09:59:10
gmail.com,CREATE,2024-09-26 11:14:32
gmail.com,DELETE,2024-09-26 23:36:13
ya.ru,DELETE,2024-09-26 00:56:39
ya.ru,UPDATE,2024-09-26 14:01:29
ya.ru,DELETE,2024-09-26 16:21:27
ya.ru,DELETE,2024-09-26 15:04:40
gmail.com,UPDATE,2024-09-26 15:26:19
gmail.com,CREATE,2024-09-26 17:18:27
